Time,Voltage,Raw_Voltage
0.01488,-62.9436,-62.9457
0.0149,-62.8179,-62.6954
0.01492,-62.6944,-62.7267
0.01494,-62.5729,-62.5703
0.01496,-62.453,-62.3826
0.01498,-62.3341,-62.4138
0.015,-62.2158,-62.2261
0.01502,-62.0975,-62.0697
0.01504,-61.9786,-62.0071
0.01506,-61.8589,-61.8507
0.01508,-61.7379,-61.7881
0.0151,-61.6157,-61.5691
0.01512,-61.4923,-61.5379
0.01514,-61.3678,-61.3189
0.01516,-61.2428,-61.225
0.01518,-61.1177,-61.0999
0.0152,-60.9931,-61.006
0.01522,-60.8699,-60.8496
0.01524,-60.7485,-60.8496
0.01526,-60.6296,-60.568
0.01528,-60.5137,-60.5367
0.0153,-60.4011,-60.4429
0.01532,-60.292,-60.2239
0.01534,-60.1865,-60.13
0.01536,-60.0844,-60.0675
0.01538,-59.9854,-59.9423
0.0154,-59.8892,-59.9736
0.01542,-59.7952,-59.8485
0.01544,-59.703,-59.7546
0.01546,-59.6118,-59.6607
0.01548,-59.5213,-59.5043
0.0155,-59.4307,-59.3479
0.01552,-59.3399,-59.1915
0.01554,-59.2484,-59.2228
0.01556,-59.1562,-59.254
0.01558,-59.0631,-59.0976
0.0156,-58.9695,-58.9725
0.01562,-58.8757,-58.8786
0.01564,-58.7821,-58.816
0.01566,-58.6894,-58.6909
0.01568,-58.5982,-58.5345
0.0157,-58.5091,-58.5658
0.01572,-58.4225,-58.4719
0.01574,-58.3391,-58.3468
0.01576,-58.259,-58.1591
0.01578,-58.1821,-58.1278
0.0158,-58.1085,-58.0965
0.01582,-58.0377,-58.0339
0.01584,-57.9693,-57.9714
0.01586,-57.903,-57.9714
0.01588,-57.8382,-57.8775
0.0159,-57.7748,-57.7524
0.01592,-57.7125,-57.6898
0.01594,-57.6516,-57.6898
0.01596,-57.5923,-57.5334
0.01598,-57.5351,-57.5334
0.016,-57.4805,-57.5021
0.01602,-57.429,-57.4708
0.01604,-57.3811,-57.3769
0.01606,-57.3371,-57.4395
0.01608,-57.2969,-57.2205
0.0161,-57.2604,-57.1267
0.01612,-57.227,-57.2831
0.01614,-57.196,-57.1267
0.01616,-57.1666,-57.1579
0.01618,-57.1378,-57.1579
0.0162,-57.109,-57.0954
0.01622,-57.0796,-57.0641
0.01624,-57.0492,-57.0954
0.01626,-57.018,-57.0641
0.01628,-56.9864,-57.1267
0.0163,-56.955,-57.0015
0.01632,-56.9248,-56.8764
0.01634,-56.8968,-56.8451
0.01636,-56.8721,-56.7199
0.01638,-56.8517,-56.8138
0.0164,-56.8362,-56.8451
0.01642,-56.8261,-56.8764
0.01644,-56.8213,-56.8138
0.01646,-56.8215,-56.8138
0.01648,-56.8261,-56.8451
